game,total_purchasers,purchased_and_played,conversion_rate
"Darksiders II Deathinitive Edition",32,2,6.25
"Hyper Fighters",16,1,6.25
"Memoir '44 Online",16,1,6.25
"Tom Clancy's Rainbow Six Vegas",16,1,6.25
"Weird Worlds Return to Infinite Space",16,1,6.25
"Deathmatch Classic",524,32,6.11
Anachronox,17,1,5.88
"Fiesta Online",17,1,5.88
"Rise of the Argonauts",34,2,5.88
"Syberia 2",17,1,5.88
"Tomb Raider III Adventures of Lara Croft",34,2,5.88
"Uncharted Waters Online",17,1,5.88
"Tomb Raider The Last Revelation",35,2,5.71
"Atlantica Online",18,1,5.56
"Earth 2150 Lost Souls",18,1,5.56
"Gorky 17",18,1,5.56
"Magic The Gathering  Tactics",18,1,5.56
"Star Wars - Jedi Knight Mysteries of the Sith",36,2,5.56
"Starseed Pilgrim",18,1,5.56
"X-COM Interceptor",36,2,5.56
"Crazy Taxi",19,1,5.26
Worms,19,1,5.26
"Half-Life Deathmatch Source",268,14,5.22
"Commander Conquest of the Americas Gold",39,2,5.13
"Broken Sword 2 - the Smoking Mirror Remastered",20,1,5.0
"Tesla Effect",20,1,5.0
"Patch testing for Chivalry",222,11,4.95
"Dungeon Party",21,1,4.76
"Hector Ep 2",22,1,4.55
"Star Wars The Clone Wars Republic Heroes",22,1,4.55
"Wallace & Gromit Ep 2 The Last Resort",22,1,4.55
"Wallace & Gromit Ep 3 Muzzled!",22,1,4.55
"Wallace & Gromit Ep 4 The Bogey Man",22,1,4.55
"GTR Evolution",69,3,4.35
Ricochet,524,21,4.01
"Commandos Beyond the Call of Duty",26,1,3.85
"Earth 2150 The Moon Project",26,1,3.85
"Sam & Max 302 The Tomb of Sammun-Mak",29,1,3.45
"Sam & Max 303 They Stole Max's Brain!",29,1,3.45
"Sam & Max 304 Beyond the Alley of the Dolls",29,1,3.45
"Sam & Max 305 The City that Dares not Sleep",29,1,3.45
"Realms of the Haunting",30,1,3.33
"Hitman Contracts",32,1,3.13
"Tomb Raider Chronicles",34,1,2.94
"X-COM Enforcer",36,1,2.78
"Serious Sam Classics Revolution",37,1,2.7
"Psychonauts Demo",82,1,1.22
